Date,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index,SPXT Index
1/2/03,37.36,438.5104,1104.97,1303.1732
1/3/03,37.47,449.4838,1105.33,1302.5464
1/6/03,37.39,438.28,1105.12,1331.8198
1/7/03,37.34,432.0764,1107.55,1323.1704
1/8/03,37.56,429.8359,1109.73,1304.9525
1/9/03,37.68,441.649,1103,1330.3057
1/10/03,37.44,435.8553,1103.45,1330.2935
1/13/03,37.45,440.6045,1105.39,1328.5023
1/14/03,37.35,441.4935,1107.36,1336.2455
1/15/03,37.54,448.4089,1108.64,1317.1783
1/16/03,37.71,453.0065,1108.48,1312.005
1/17/03,37.77,452.8763,1110.47,1293.6265
1/20/03,37.87,452.8763,1110.47,1293.6265
1/21/03,37.87,453.3926,1111.83,1273.3141
1/22/03,38.06,454.0295,1113.86,1260.1572
1/23/03,37.98,449.0634,1112.72,1273.0399
1/24/03,38.31,457.4348,1114.5601,1235.8378
1/27/03,38.03,449.2163,1112.6,1215.8585
1/28/03,38.07,453.9192,1112.25,1231.7371
1/29/03,38.49,465.1741,1110.55,1240.3127
1/30/03,38.77,467.4386,1112.49,1212.228
1/31/03,38.72,466.1573,1113.72,1228.1378
2/3/03,38.77,462.4823,1113.73,1234.785
2/4/03,38.87,469.8129,1116.11,1217.3998
2/5/03,38.96,473.2256,1113.5699,1211.0419
2/6/03,39.2,477.3053,1116.17,1203.5841
2/7/03,39.64,489.4171,1117.46,1191.4565
2/10/03,39.46,482.4123,1115.6801,1200.509
2/11/03,39.61,489.2635,1116.36,1190.8345
2/12/03,39.19,484.8379,1118.09,1176.1536
2/13/03,39.05,487.7371,1120.4301,1174.4321
2/14/03,39.31,489.6842,1117.23,1199.6068
2/17/03,39.26,489.6842,1117.23,1199.6068
2/18/03,39.17,489.4554,1117.79,1223.1123
2/19/03,39.63,493.3791,1120.61,1214.657
2/20/03,39.65,487.1665,1122.4,1203.1785
2/21/03,40.15,497.9911,1120.5699,1219.1008
2/24/03,41.25,518.6329,1122.78,1196.7061
2/25/03,40.38,502.6139,1124.16,1205.3215
2/26/03,41.39,520.3789,1125.62,1189.9841
2/27/03,41.17,517.5505,1126.3101,1204.1141
2/28/03,41.5,522.1992,1129.13,1209.7111
3/3/03,40.76,508.1813,1130.16,1200.6021
3/4/03,40.66,513.2497,1131.0601,1182.1699
3/5/03,40.42,510.5107,1132.28,1193.8685
3/6/03,40.35,511.9909,1131.15,1182.8164
3/7/03,40.79,521.5898,1132.26,1192.6152
3/10/03,40.13,513.4648,1134.1801,1161.8494
3/11/03,39.67,502.3106,1133.4,1152.1525
3/12/03,39.43,506.3301,1132.59,1157.6139
3/13/03,38.62,488.001,1126.9,1197.5562
3/14/03,38.46,477.1153,1128.15,1199.5525
3/17/03,38.18,469.0186,1124.48,1242.0897
3/18/03,37.6,449.0025,1121.64,1247.3947
3/19/03,37.47,444.0386,1119.3101,1258.3671
3/20/03,37.19,434.2138,1117.72,1260.7656
3/21/03,36.85,420.1772,1114.3101,1289.7389
3/24/03,37.14,433.0264,1119.8199,1244.3108
3/25/03,36.9,424.9403,1120.41,1259.4388
3/26/03,36.81,428.8674,1121.85,1252.5897
3/27/03,37.18,442.9572,1122.85,1250.7135
3/28/03,37.17,440.1951,1124.5699,1243.5144
3/31/03,37.05,446.5079,1128.26,1221.4564
4/1/03,36.81,437.0529,1128.16,1236.2987
4/2/03,36.57,427.1304,1124.24,1268.8192
4/3/03,36.53,428.1585,1125.3101,1262.4274
4/4/03,36.6,425.7461,1124.63,1265.8986
4/7/03,36.63,424.5965,1122.37,1267.486
4/8/03,36.53,424.3415,1125.96,1265.5725
4/9/03,36.84,432.8798,1127.64,1247.9907
4/10/03,36.62,425.7702,1126.34,1256.0416
4/11/03,36.91,428.9636,1124.85,1251.4049
