DATE,SPXT,BOND,FTSE
2/13/03,1174.4321,1120.4301,39.05
2/14/03,1199.6068,1117.23,39.31
2/17/03,1199.6068,1117.23,39.26
2/18/03,1223.1123,1117.79,39.17
2/19/03,1214.657,1120.61,39.63
2/20/03,1203.1785,1122.4,39.65
2/21/03,1219.1008,1120.5699,40.15
2/24/03,1196.7061,1122.78,41.25
2/25/03,1205.3215,1124.16,40.38
2/26/03,1189.9841,1125.62,41.39
2/27/03,1204.1141,1126.3101,41.17
2/28/03,1209.7111,1129.13,41.5
3/3/03,1200.6021,1130.16,40.76
3/4/03,1182.1699,1131.0601,40.66
3/5/03,1193.8685,1132.28,40.42
3/6/03,1182.8164,1131.15,40.35
3/7/03,1192.6152,1132.26,40.79
3/10/03,1161.8494,1134.1801,40.13
3/11/03,1152.1525,1133.4,39.67
3/12/03,1157.6139,1132.59,39.43
3/13/03,1197.5562,1126.9,38.62
3/14/03,1199.5525,1128.15,38.46
3/17/03,1242.0897,1124.48,38.18
3/18/03,1247.3947,1121.64,37.6
3/19/03,1258.3671,1119.3101,37.47
3/20/03,1260.7656,1117.72,37.19
3/21/03,1289.7389,1114.3101,36.85
3/24/03,1244.3108,1119.8199,37.14
3/25/03,1259.4388,1120.41,36.9
3/26/03,1252.5897,1121.85,36.81
3/27/03,1250.7135,1122.85,37.18
3/28/03,1243.5144,1124.5699,37.17
3/31/03,1221.4564,1128.26,37.05
4/1/03,1236.2987,1128.16,36.81
4/2/03,1268.8192,1124.24,36.57
4/3/03,1262.4274,1125.3101,36.53
4/4/03,1265.8986,1124.63,36.6
4/7/03,1267.486,1122.37,36.63
4/8/03,1265.5725,1125.96,36.53
4/9/03,1247.9907,1127.64,36.84
4/10/03,1256.0416,1126.34,36.62
4/11/03,1251.4049,1124.85,36.91
4/14/03,1275.8231,1123.73,37.07
4/15/03,1283.963,1126.42,37.45
4/16/03,1268.2803,1127.98,37.5
4/17/03,1287.9893,1127.67,37.8
4/21/03,1285.7164,1127.72,37.76
4/22/03,1313.6321,1128.08,37.41
4/23/03,1324.6802,1128.6899,37.05
4/24/03,1313.7489,1132.55,37.04
4/25/03,1295.5723,1133.8,36.96
4/28/03,1318.8521,1133.73,36.77
4/29/03,1323.2577,1132.78,36.95
4/30/03,1322.0677,1137.5699,37.05
5/1/03,1321.3914,1137.78,37.16
5/2/03,1341.2775,1135.8,36.97
5/5/03,1336.2365,1137.35,37.23
5/6/03,1347.5436,1141.1,37.04
5/7/03,1340.8719,1145.25,37.11
5/8/03,1327.4169,1146.08,37.24
5/9/03,1346.6831,1145.65,37.43
5/12/03,1363.6064,1147.49,37.56
5/13/03,1359.7416,1147.95,37.98
5/14/03,1355.7632,1151.98,38.23
5/15/03,1366.5852,1151.13,38.1
5/16/03,1363.3177,1154.1801,38.03
5/19/03,1329.3795,1154.36,37.71
5/20/03,1327.873,1157.49,37.8
5/21/03,1333.3286,1156.41,37.99
5/22/03,1345.5331,1157.89,37.7
5/23/03,1347.4938,1158.3101,37.74
5/27/03,1373.8636,1156.29,37.76
5/28/03,1376.575,1155.36,37.52
5/29/03,1371.5106,1158.86,37.9
5/30/03,1391.7245,1158.78,37.95
6/2/03,1396.6992,1156.3101,38.04
6/3/03,1403.2939,1160.11,37.92
6/4/03,1424.9048,1161.65,37.88
6/5/03,1430.6345,1159.84,38.16
6/6/03,1427.2747,1159.74,38.37
6/9/03,1410.2075,1163.26,38.1
6/10/03,1423.1069,1167,38.29
6/11/03,1441.8594,1166.89,38.19
6/12/03,1443.4135,1168.25,37.68
6/13/03,1429.1132,1170.86,37.29
6/16/03,1461.146,1168.1899,37.29
6/17/03,1462.481,1164.8199,37.54
6/18/03,1460.3165,1161.47,37.65
6/19/03,1438.0864,1162.4,37.81
6/20/03,1439.5361,1160.41,37.61
6/23/03,1419.241,1163.59,37.44
6/24/03,1421.8579,1165.86,37.45
6/25/03,1410.0946,1161.49,37.6
6/26/03,1425.8237,1155.39,37.06
6/27/03,1411.9658,1154.3,37.22
6/30/03,1409.4778,1156.48,36.88
7/1/03,1421.0261,1155.6801,37.07
7/2/03,1437.6141,1156.5601,36.99
7/3/03,1425.9658,1152.63,36.78
7/4/03,1425.9658,1152.63,36.83
7/7/03,1453.0719,1150.46,36.79
7/8/03,1458.5122,1149.63,36.74
7/9/03,1450.5061,1151.1,36.91
7/10/03,1430.9604,1152.4301,36.78
7/11/03,1444.6998,1154.29,36.73
7/14/03,1453.0009,1151.5,36.72
7/15/03,1448.0219,1143.8199,36.44
7/16/03,1438.8549,1142.91,36.35
7/17/03,1421.1113,1142.78,36.28
7/18/03,1437.8854,1142.2,36.34
7/21/03,1416.8779,1134.25,36.28
7/22/03,1430.3503,1135.35,36.05
7/23/03,1431.1024,1137.3,36.25
7/24/03,1420.9552,1135.3199,36.47
7/25/03,1445.7009,1134.79,36.6
7/28/03,1442.5764,1129.95,36.7
7/29/03,1432.3063,1124.0601,36.63
7/30/03,1429.906,1127.01,36.57
7/31/03,1434.3292,1117.6,36.63
8/1/03,1419.639,1117.04,36.83
8/4/03,1423.5088,1121.28,36.59
8/5/03,1398.4214,1117.53,36.59
8/6/03,1401.0123,1125.99,36.48
8/7/03,1411.2645,1129.05,36.75
8/8/03,1416.3043,1129.64,36.57
8/11/03,1421.0101,1125.9,36.63
8/12/03,1435.1694,1126.8199,36.76
8/13/03,1426.5536,1116.79,36.56
8/14/03,1435.9552,1116.47,36.7
8/15/03,1436.426,1118.42,36.64
8/18/03,1449.6473,1121.13,36.68
8/19/03,1453.4528,1126.73,36.77
8/20/03,1450.6058,1124.5699,36.9
8/21/03,1454.9772,1120.76,37.05
8/22/03,1440.1656,1122.6899,37.11
8/25/03,1441.1119,1120.01,36.94
8/26/03,1445.5049,1122.27,37
8/27/03,1445.837,1120.15,36.95
8/28/03,1454.6963,1125.4301,36.92
8/29/03,1462.3015,1125.02,37.18
9/1/03,1462.3015,1125.02,37.24
9/2/03,1482.6089,1118.04,36.85
9/3/03,1489.2472,1118.49,36.99
9/4/03,1491.7672,1122.97,36.63
9/5/03,1482.2408,1131.87,36.76
9/8/03,1497.2183,1130.77,36.69
