Ticker,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index,SPTRENRS Index,SPTRFINL Index,SPTRINFT Index,SPTRHLTH Index,SPTRCOND Index,SPTRINDU Index,SPTRUTIL Index,SPTRCONS Index,SPTRMATR Index,SPTRTELS Index,SPXT Index
11/22/04,44.81,655.0935,1204.35,378.79,487.32,332.4879,380.39,300.21,333.49,216.06,284.51,223.72,163.78,1744.7068
11/23/04,44.95,659.4939,1203.92,380.64,488.46,330.929,379.19,302.04,332.9,217.15,283.75,222.66,163.18,1744.3123
11/24/04,45.39,673.0722,1203.34,383.59,490.19,333.6014,380.08,303.6,333.57,218,283.84,224.67,163.11,1751.5541
11/25/04,45.29,673.0722,1203.34,383.59,490.19,333.6014,380.08,303.6,333.57,218,283.84,224.67,163.11,1751.5541
11/26/04,45.3,671.7936,1201.64,385.65,490.05,332.3799,382.06,303.83,333.06,218.59,283.97,227.02,163.73,1753.0922
11/29/04,45.69,667.4175,1198.09,383.24,488.26,333.1337,382.21,301.9,332.06,216.16,281.33,226.64,163.64,1747.3358
11/30/04,45.42,658.5188,1197.6801,383.21,487.38,330.5059,382.98,298.82,332.51,213.42,278.78,225.31,163.3,1740.3267
12/1/04,45.1,627.9322,1197.2,376.77,497.2,338.4811,389.95,303.69,338.2,211.75,282.8,227.77,166.74,1766.9032
12/2/04,44.08,599.4223,1195.75,367.58,496.51,337.9033,393.55,303.9,337.45,209.43,285.14,224.84,168.58,1765.3715
12/3/04,44.03,594.1896,1202.71,370.06,496.05,341.2182,391.62,302.8,337.37,210.96,284.76,224.64,167.74,1766.6271
12/6/04,44,598.646,1204.97,369.79,496.33,343.6752,389.76,302.32,336.21,212.79,282.53,223.8,167.17,1765.3257
12/7/04,43.78,582.1589,1205.64,363.63,491.59,337.8774,385.85,300.06,332.39,210.77,281.46,219.37,165.54,1745.8347
12/8/04,43.18,586.1475,1210.04,366.11,493.25,338.1466,392,302.01,334.3,209.96,282.83,220.06,164.93,1754.7474
12/9/04,43.13,594.6952,1208.47,368.84,495.61,337.3488,395.23,304.41,336.04,210.22,286.16,221.71,166.28,1764.3501
12/10/04,42.76,579.5504,1208.91,366.87,495.98,335.6794,394.01,303.78,337.75,210.71,286.06,221.51,166.35,1762.5117
12/13/04,43.16,589.4586,1209.23,372.41,500.11,339.1316,396.13,305.15,342.01,214.1,287.42,224.74,168.84,1778.5385
12/14/04,43.18,596.018,1210.16,373.01,501.43,340.4168,399.29,306.75,342.29,214.66,289.73,224.58,169.05,1785.5104
12/15/04,44.09,616.3582,1212.76,374.78,503.76,340.5813,400.52,307.89,342.11,216.09,289.53,226.66,166.56,1789.1426
12/16/04,44.14,610.6122,1207.8,371.27,501.07,338.6155,406.49,307.18,340.28,215.99,289.02,225.17,167.07,1785.5131
12/17/04,44.51,633.6061,1206.75,370.4,498.44,334.9627,398.4,305.45,339.63,216.09,286.24,224.38,167.48,1772.1881
12/20/04,44.82,622.1151,1207.25,376.2,498.6,334.4215,393.79,305.52,340.55,217.97,286.51,225.55,167.82,1772.8687
12/21/04,44.95,621.6624,1208.89,379.73,504.31,338.4693,397.25,307.4,342.53,219.71,288.59,228.34,168.74,1788.9293
12/22/04,44.61,608.5907,1208,375.29,508.06,339.4655,400.2,309.32,343.45,220.28,289.91,228.52,168.87,1795.6626
12/23/04,44.67,606.3598,1207.51,378.48,507.86,339.7585,401.37,308.8,343.49,219.91,289.03,229.03,168.49,1796.4939
12/24/04,44.81,606.3598,1207.51,378.48,507.86,339.7585,401.37,308.8,343.49,219.91,289.03,229.03,168.49,1796.4939
12/27/04,44.62,581.4562,1204.67,371.59,505.55,338.0349,401.09,308.98,341.18,218.21,288.93,228.38,168.11,1788.7598
12/28/04,44.74,584.6067,1204.71,373.65,508.37,339.5804,405.41,312.68,343.7,219.53,291.06,229.73,168.6,1801.5801
12/29/04,45.03,592.0918,1203.49,375.91,507.75,339.7531,406.21,312.99,342.56,219.88,290.54,229.82,168.43,1801.7102
